,name,asset_ownership_name,latitude,longitude,asset_type,country
0,Al Kamil power plant,Al Kamil Power Company SAOG,22.3903,59.0695,oil_and_gas_plant,Oman
1,Lake Hubbard power station,Luminant Generation Co LLC,32.8358,-96.5458,oil_and_gas_plant,United States
2,Huadian Yizheng Thermal power station,Jiangsu Huadian Yizheng Thermal Power Co Ltd,32.287236,119.054979,oil_and_gas_plant,China
3,Sichuan Renshou Thermal power station,China Huaneng Group Corp Sichuan Branch,29.994502,104.13231,oil_and_gas_plant,China
4,Chentangzhuang power station,Tianjin Chentang Thermoelectricity Co Ltd,38.96213,117.185749,oil_and_gas_plant,China
5,Hobbs generating station,Lea Power Partners LLC,32.728333,-103.3094,oil_and_gas_plant,United States
6,Cayuga Generating Station,Duke Energy Indiana LLC,39.9242,-87.4244,oil_and_gas_plant,United States
7,Pueblo Airport generating station,Black Hills Colorado Electric LLC,38.320833,-104.5264,oil_and_gas_plant,United States
8,Piedra Buena power station,Pampa Energia SA,-38.7875,-62.2537,oil_and_gas_plant,Argentina
9,Karbala Gas power plant,Ministry of Electricity (Iraq),32.437631,44.126918,oil_and_gas_plant,Iraq
10,Nanjing Liuhe District Yangba power station,Yangzi Petrochemical-BASF Co Ltd,32.246702,118.805386,oil_and_gas_plant,China
11,RS cogeneration power station,Entergy Corp,30.221,-93.2992,oil_and_gas_plant,United States
12,Ashkelon Delek power station,Delek Israel,31.6350712,34.5244567,oil_and_gas_plant,Israel
13,Cotesa power station,Compañía Española de Petróleos SA,28.4539912047784,-16.2780833799966,oil_and_gas_plant,Spain
14,Cristobal Colón power station,Endesa SA,37.2156,-6.943,oil_and_gas_plant,Spain
15,Alor Gajah (Melaka) power station,Edra Energy Sdn Bhd,2.382211,102.2115611,oil_and_gas_plant,Malaysia
16,Thilawa (Sumitomo) power station,Mitsui & Co Ltd,16.658502,96.262303,oil_and_gas_plant,
17,Gulf BP power station,Gulf MP Co Ltd,14.25334,100.602789,oil_and_gas_plant,Thailand
18,Thai Oil Company Sriracha Refinery power station,Thai Oil PCL,13.1103842,100.9049167,oil_and_gas_plant,Thailand
19,Ressurreição power station,CH4 Energia Ltda,-8.397778,-35.028833,oil_and_gas_plant,Brazil
20,Smart Energy Center (Cheongju) power station,SK Hynix,36.6492698,127.4221799,oil_and_gas_plant,
21,Upper Sankhuwa Khola hydroelectric plant,Happy Energy PVT LTD,27.5431,87.0451,hydro_power_low,Nepal
22,Mahon power station,Endesa SA,39.89686,4.25858,oil_and_gas_plant,Spain
23,Phinda power plant,Phinda Power Producers,-28.765199,32.011978,oil_and_gas_plant,South Africa
24,Huarun Dongguan Dalang Gas power station,China Resources Power Investment Co Ltd,22.940080757444,113.944773624091,oil_and_gas_plant,China
25,Faridpur peaking power station,Bangladesh Power Development Board (BPDB),23.6191852193157,89.7733019242934,oil_and_gas_plant,Bangladesh
26,W.S. Lee Steam Station,Duke Energy Carolinas LLC,34.6022,-82.435,oil_and_gas_plant,United States
27,Uranquinty power station,Origin Energy Ltd,-35.1793948,147.2128392,oil_and_gas_plant,Australia
28,C4GT power station,C4GT LLC,37.447097,-77.1673,oil_and_gas_plant,United States
29,Camaçari Muricy II power plant,New Fortress Energy Inc,-12.6561,-38.2999,oil_and_gas_plant,Brazil
30,Lloyds Energy power station,Mitsubishi Corp,13.774431,121.024546,oil_and_gas_plant,Philippines
31,Liberty Electric power plant,Liberty Electric Power LLC,39.8614,-75.3358,oil_and_gas_plant,United States
32,Victor J Daniel Jr power station,Mississippi Power Co,30.5322,-88.5553,oil_and_gas_plant,United States
33,NAEA Ocean Peaking power station,NAEA Ocean Peaking Power LLC,40.0633,-74.1672,oil_and_gas_plant,United States
34,Tierra Noble power station,Naturgy Energy Group SA,-37.043118,-72.405662,oil_and_gas_plant,Chile
35,Tanglawan power station,Phoenix Petroleum Philippines Inc,13.773723,121.024505,oil_and_gas_plant,Philippines
36,Sendai Thermal power plant,Kyushu Electric Power Co Inc,31.8574268362645,130.200813347096,oil_and_gas_plant,Japan
37,Riyadh Cement Company power plant,Riyadh Cement Co,24.31129,46.29621,oil_and_gas_plant,Saudi Arabia
38,Camden Plant Holdings power station,Camden Plant Holdings LLC,39.9175,-75.1192,oil_and_gas_plant,United States
39,Mary power station,Turkmenenergo,37.55034442,61.84121491,oil_and_gas_plant,Turkmenistan
40,Datang Guangzhou Conghua Gas power station,Datang International Power Generation Co Ltd Guangdong Branch,23.614969,113.454288,oil_and_gas_plant,China
41,Bangla Trac Power Unit-1 power station,ACORN Infrastructure Services Ltd,23.5465484238832,90.7778975698308,oil_and_gas_plant,Bangladesh
42,Euzébio Rocha power station,Petróleo Brasileiro SA,-23.875531,-46.431825,oil_and_gas_plant,Brazil
43,Gourikwa power station,Eskom Holdings SOC Ltd,-34.166755,21.960715,oil_and_gas_plant,South Africa
44,Ceuta power station,Endesa SA,35.9026,-5.28949,oil_and_gas_plant,Spain
45,Agios Georgios power station,Public Power Corporation SA,37.95429,23.61023,oil_and_gas_plant,Greece
46,Cairo North power plant,Cairo Electricity Production Co,30.1027,31.2684,oil_and_gas_plant,Egypt
47,Hai Lang power station,Korea Gas Corp,16.994429,107.115361,oil_and_gas_plant,Viet Nam
48,Eden Yuturi power station,Petroamazonas EP,-0.528791,-76.126258,oil_and_gas_plant,Ecuador
49,Oseong power station,Pyeongtaek Energy Service Co,37.0254,127.0027,oil_and_gas_plant,
50,ExxonMobil Baton Rouge Turbine Generator power station,ExxonMobil Corp,30.489722,-91.18722,oil_and_gas_plant,United States
51,Complejo Petroquímico Cangrejera power station,Pemex-Transformación Industrial,18.092895,-94.361309,oil_and_gas_plant,Mexico
52,Buzurgan 2 power station,Ministry of Electricity (Iraq),32.12513,47.40004,oil_and_gas_plant,Iraq
53,Boca Chica power station,Karpowership Dominican Republic SAS,18.456375,-69.611345,oil_and_gas_plant,Dominican Republic
54,Arthur Kill generating station,Arthur Kill Power LLC,40.591564,-74.20004,oil_and_gas_plant,United States
55,Tanajib Cogeneration and Desalination power plant,Marubeni Corp,27.770296,48.874835,oil_and_gas_plant,Saudi Arabia
56,Neerabup power station,Shell PLC,-31.6713,115.8021,oil_and_gas_plant,Australia
57,Sol Coqueria Tubarão power station,ArcelorMittal Brasil SA,-20.252743,-40.230285,oil_and_gas_plant,Brazil
58,Orange Grove peaking facility,Orange Grove Energy LP,33.3594,-117.1114,oil_and_gas_plant,United States
59,Mari power station,Powerenergy Cyprus Ltd,34.729446,33.28253,oil_and_gas_plant,Cyprus
60,Pernambuco III power station,Termelétrica Pernambuco III SA,-7.864036,-35.018734,oil_and_gas_plant,Brazil
61,St Francis energy facility,Associated Electric Cooperative Inc,36.5852,-90.1779,oil_and_gas_plant,United States
